DATE,TIME,実績(万kW)
2015 1 23,11 00,3669
2015 1 23,12 00,3408
2015 1 23,13 00,3550
2015 1 23,14 00,3527
2015 1 23,15 00,3609
2015 1 23,16 00,3816
2015 1 23,17 00,4135
2015 1 23,18 00,4181
2015 1 23,19 00,4100
2015 1 23,20 00,4010
2015 1 23,21 00,3886
2015 1 23,22 00,3795
2015 1 23,23 00,3602
2015 1 24,0 00,3328
2015 1 24,1 00,3157
2015 1 24,2 00,3040
2015 1 24,3 00,2942
2015 1 24,4 00,2903
2015 1 24,5 00,2985
2015 1 24,6 00,3240
2015 1 24,7 00,3480
2015 1 24,8 00,3771
2015 1 24,9 00,3862
2015 1 24,10 00,3775
2015 1 24,11 00,3710
2015 1 24,12 00,3577
2015 1 24,13 00,3524
2015 1 24,14 00,3425
2015 1 24,15 00,3452
2015 1 24,16 00,3632
2015 1 24,17 00,3922
2015 1 24,18 00,3964
2015 1 24,19 00,3916
2015 1 24,20 00,3856
2015 1 24,21 00,3714
2015 1 24,22 00,3544
2015 1 24,23 00,3384
2015 1 25,0 00,3163
2015 1 25,1 00,3018
2015 1 25,2 00,2910
2015 1 25,3 00,2838
2015 1 25,4 00,2801
2015 1 25,5 00,2846
2015 1 25,6 00,3005
2015 1 25,7 00,3180
2015 1 25,8 00,3351
2015 1 25,9 00,3379
2015 1 25,10 00,3250
2015 1 25,11 00,3119
2015 1 25,12 00,3055
2015 1 25,13 00,2994
2015 1 25,14 00,2994
2015 1 25,15 00,2993
2015 1 25,16 00,3193
2015 1 25,17 00,3628
2015 1 25,18 00,3755
2015 1 25,19 00,3724
2015 1 25,20 00,3682
2015 1 25,21 00,3532
2015 1 25,22 00,3306
2015 1 25,23 00,3088
2015 1 26,0 00,2850
2015 1 26,1 00,2726
2015 1 26,2 00,2664
2015 1 26,3 00,2649
2015 1 26,4 00,2679
2015 1 26,5 00,2869
2015 1 26,6 00,3295
2015 1 26,7 00,3625
2015 1 26,8 00,3881
2015 1 26,9 00,4010
2015 1 26,10 00,3847
2015 1 26,11 00,3734
